DATE;AMZN;DIS;BA;HLT;CCL
9/1/2017;978,25;97,921532;227,808151;63,451939;63,203701
9/5/2017;965,27002;98,018005;224,651642;62,479385;61,228889
9/6/2017;967,799988;97,921532;222,395615;62,548153;61,219738
9/7/2017;979,469971;93,638069;223,997604;62,764275;60,031189
9/8/2017;965,900024;93,647713;226,338882;63,992256;59,94891
9/11/2017;977,960022;93,667007;228,054611;64,787979;61,850586
9/12/2017;982,580017;94,438805;228,045105;64,905853;62,335163
9/13/2017;999,599976;95,336014;229,324783;65,505119;62,554581
9/14/2017;992,210022;94,448456;232,452835;65,347923;62,847153
9/15/2017;986,789978;95,046593;236,026398;65,456001;60,287197
9/18/2017;974,190002;94,641396;239,893845;65,38723;59,601486
9/19/2017;969,859985;94,959763;239,306137;65,711411;59,628918
9/20/2017;973,210022;95,712265;242,149811;65,858772;58,952351
9/21/2017;964,650024;95,403549;242,6996;66,153496;58,924915
9/22/2017;955,099976;95,123772;243,088257;66,98851;58,815205
9/25/2017;939,789978;96,059578;241,069199;67,499344;58,056358
9/26/2017;938,599976;95,15271;240,481522;68,275421;59,720333
9/27/2017;950,869995;95,741211;241,979202;67,892303;58,220932
9/28/2017;956,400024;94,593163;241,021835;68,137909;58,851776
9/29/2017;961,349976;95,094833;240,964951;68,226295;59,034634
10/2/2017;959,190002;96,339355;242,652206;68,206665;58,906635
10/3/2017;957,099976;97,236565;242,149811;67,646721;58,604919
10/4/2017;965,450012;97,005028;242,434174;67,695831;59,601486
10/5/2017;980,849976;96,580536;245,401138;68,14772;60,259766
10/6/2017;989,580017;96,541939;245,107224;68,255775;60,003757
10/9/2017;990,98999;96,059578;244,927185;68,432625;60,753471
10/10/2017;987,200012;96,069229;247,334824;68,688026;61,329456
10/11/2017;995;95,075539;247,818237;68,982735;61,439175
10/12/2017;1000,929993;93,51265;248,263763;69,139915;61,128311
10/13/2017;1002,940002;93,946785;247,154739;69,906181;62,115742
10/16/2017;1006,340027;94,670334;246,216293;69,876701;62,390011
10/17/2017;1009,130005;94,892242;245,145172;69,965118;62,289448
10/18/2017;997;94,786118;246,491241;69,807938;61,676872
10/19/2017;986,609985;95,519333;245,543304;69,847237;60,150047
10/20/2017;982,909973;95,895576;250,955765;69,788284;60,232327
10/23/2017;966,299988;95,220245;248,652451;69,179222;60,433475
10/24/2017;975,900024;94,824699;252,140656;69,886543;60,726032
10/25/2017;972,909973;94,351974;244,955597;70,063362;60,195755
10/26/2017;972,429993;95,085182;245,761322;71,202942;60,890602
10/27/2017;1100,949951;94,844002;243,097702;70,642967;61,448318
10/30/2017;1110,849976;94,583511;245,742355;71,369926;60,360325
10/31/2017;1105,280029;94,361626;244,538559;71,006439;60,698601
11/1/2017;1103,680054;95,538605;245,031418;71,16362;59,034634
11/2/2017;1094,219971;94,882591;248,946289;71,16362;59,610626
11/3/2017;1111,599976;95,162369;248,112106;71,870949;59,820908
11/6/2017;1120,660034;97,09185;250,311218;72,096901;60,040329
11/7/2017;1123,170044;98,027657;252,26387;71,330635;60,689461
